pin_name	x	y
soc_438	2289.19572	4334.69778
soc_440	1975.59572	4334.69778
soc_442	1661.99572	4334.69778
soc_444	1348.39572	4334.69778
soc_453	3073.19572	4173.2565
soc_455	2759.59572	4173.2565
soc_457	2445.99572	4173.2565
soc_459	2132.39572	4173.2565
soc_461	1818.79572	4173.2565
soc_463	1505.19572	4173.2565
soc_470	3543.59572	4011.81522
soc_472	3229.99572	4011.81522
soc_474	2916.39572	4011.81522
soc_476	2602.79572	4011.81522
soc_478	2289.19572	4011.81522
soc_480	1975.59572	4011.81522
soc_482	1661.99572	4011.81522
soc_484	1348.39572	4011.81522
soc_493	3073.19572	3850.37394
soc_495	2759.59572	3850.37394
soc_497	2445.99572	3850.37394
soc_499	2132.39572	3850.37394
soc_501	1818.79572	3850.37394
soc_503	1505.19572	3850.37394
soc_512	3229.99572	3688.93266
soc_514	2916.39572	3688.93266
soc_516	2602.79572	3688.93266
soc_518	2289.19572	3688.93266
soc_520	1975.59572	3688.93266
soc_522	1661.99572	3688.93266
soc_524	1348.39572	3688.93266
soc_531	3386.79572	3527.49138
soc_533	3073.19572	3527.49138
soc_535	2759.59572	3527.49138
soc_537	2445.99572	3527.49138
soc_539	2132.39572	3527.49138
soc_541	1818.79572	3527.49138
soc_543	1505.19572	3527.49138
soc_549	3229.99572	3366.0501
soc_551	2916.39572	3366.0501
soc_553	2602.79572	3366.0501
soc_555	2289.19572	3366.0501
soc_557	1975.59572	3366.0501
soc_559	1661.99572	3366.0501
soc_561	1348.39572	3366.0501
soc_562	1191.59572	3660.59694
soc_568	3073.19572	3206.2464
soc_570	2759.59572	3206.2464
soc_572	2445.99572	3206.2464
soc_574	2132.39572	3206.2464
soc_576	1818.79572	3206.2464
soc_578	1505.19572	3206.2464
soc_581	3543.59572	3044.80512
soc_583	3229.99572	3044.80512
soc_585	2916.39572	3044.80512
soc_587	2602.79572	3044.80512
soc_589	2289.19572	3044.80512
soc_591	1975.59572	3044.80512
soc_593	1661.99572	3044.80512
soc_595	1348.39572	3044.80512
soc_600	3073.19572	2883.36384
soc_602	2759.59572	2883.36384
soc_604	2445.99572	2883.36384
soc_606	2132.39572	2883.36384
soc_608	1818.79572	2883.36384
soc_610	1505.19572	2883.36384
soc_615	3229.99572	2721.92256
soc_617	2916.39572	2721.92256
soc_619	2602.79572	2721.92256
soc_621	2289.19572	2721.92256
soc_623	1975.59572	2721.92256
soc_625	1661.99572	2721.92256
soc_628	3386.79572	2560.48128
soc_630	3073.19572	2560.48128
soc_632	2759.59572	2560.48128
soc_634	2445.99572	2560.48128
soc_636	2132.39572	2560.48128
soc_638	1818.79572	2560.48128
soc_643	3229.99572	2399.04
soc_645	2916.39572	2399.04
soc_647	2602.79572	2399.04
soc_649	2289.19572	2399.04
soc_651	1975.59572	2399.04
soc_653	1661.99572	2399.04
soc_655	2916.39572	1107.50976
soc_660	3073.19572	2237.59872
soc_662	2759.59572	2237.59872
soc_664	2445.99572	2237.59872
soc_666	2132.39572	2237.59872
soc_668	1818.79572	2237.59872
soc_670	3073.19572	946.06848
soc_673	3543.59572	2076.15744
soc_675	3229.99572	2076.15744
soc_677	2916.39572	2076.15744
soc_679	2602.79572	2076.15744
soc_681	2289.19572	2076.15744
soc_683	1975.59572	2076.15744
soc_686	2916.39572	784.6272
soc_691	3073.19572	1914.71616
soc_693	2759.59572	1914.71616
soc_695	2445.99572	1914.71616
soc_697	2132.39572	1914.71616
soc_699	1818.79572	1914.71616
soc_701	3073.19572	623.18592
soc_706	3229.99572	1753.27488
soc_708	2916.39572	1753.27488
soc_711	3386.79572	1591.8336
soc_713	3073.19572	1591.8336
soc_718	3229.99572	1430.39232
soc_720	2916.39572	1430.39232
soc_725	3073.19572	1268.95104
soc_728	3543.59572	1107.50976
soc_730	3229.99572	1107.50976
soc_737	2916.39572	461.74464
soc_741	3229.99572	780.45632
soc_744	3386.79572	623.18592
soc_753	3229.99572	300.30336
soc_766	1348.39572	6756.31698
soc_768	1661.99572	6756.31698
soc_770	1975.59572	6756.31698
soc_772	2289.19572	6756.31698
soc_774	2602.79572	6756.31698
soc_776	2916.39572	6756.31698
soc_778	3229.99572	6756.31698
soc_780	3543.59572	6756.31698
soc_783	1505.19572	7240.64082
soc_785	1818.79572	7240.64082
soc_787	2132.39572	7240.64082
soc_789	2445.99572	7240.64082
soc_791	2759.59572	7240.64082
soc_793	3073.19572	7240.64082
soc_795	3386.79572	7240.64082
soc_897	2535.32762	1731.49732
soc_898	2260.92762	1731.49732
soc_899	2009	1731.49732
soc_900	1757.07238	1731.49732
soc_901	1482.67238	1731.49732
soc_2	3700.39572	7079.19954
soc_4	3386.79572	7079.19954
soc_6	3073.19572	7079.19954
soc_8	2759.59572	7079.19954
soc_10	2445.99572	7079.19954
soc_12	2132.39572	7079.19954
soc_14	1818.79572	7079.19954
soc_16	1505.19572	7079.19954
soc_19	3543.59572	6917.75826
soc_21	3229.99572	6917.75826
soc_23	2916.39572	6917.75826
soc_25	2602.79572	6917.75826
soc_27	2289.19572	6917.75826
soc_29	1975.59572	6917.75826
soc_31	1661.99572	6917.75826
soc_33	1348.39572	6917.75826
soc_34	1191.59572	7212.3051
soc_36	877.99572	7212.3051
soc_38	564.39572	7212.3051
soc_40	250.79572	7212.3051
soc_42	1034.79572	137.2245
soc_44	721.19572	137.2245
soc_46	407.59572	137.2245
soc_150	3543.59572	6594.8757
soc_152	3229.99572	6594.8757
soc_154	2916.39572	6594.8757
soc_158	2289.19572	6594.8757
soc_160	1975.59572	6594.8757
soc_162	1661.99572	6594.8757
soc_164	1348.39572	6594.8757
soc_169	3700.39572	6433.43442
soc_171	3386.79572	6433.43442
soc_173	3073.19572	6433.43442
soc_175	2759.59572	6433.43442
soc_177	2445.99572	6433.43442
soc_179	2132.39572	6433.43442
soc_181	1818.79572	6433.43442
soc_183	1505.19572	6433.43442
soc_190	3543.59572	6271.99314
soc_192	3229.99572	6271.99314
soc_194	2916.39572	6271.99314
soc_196	2602.79572	6271.99314
soc_198	2289.19572	6271.99314
soc_200	1975.59572	6271.99314
soc_202	1661.99572	6271.99314
soc_204	1348.39572	6271.99314
soc_209	3700.39572	6110.55186
soc_211	3386.79572	6110.55186
soc_213	3073.19572	6110.55186
soc_215	2759.59572	6110.55186
soc_217	2445.99572	6110.55186
soc_219	2132.39572	6110.55186
soc_221	1818.79572	6110.55186
soc_223	1505.19572	6110.55186
soc_230	3543.59572	5949.11058
soc_232	3229.99572	5949.11058
soc_234	2916.39572	5949.11058
soc_236	2602.79572	5949.11058
soc_238	2289.19572	5949.11058
soc_240	1975.59572	5949.11058
