Frequency_GHz,S21_Magnitude_dB,S21_Phase_deg
3.516076,-0.0058,-3.379
3.524083,-0.0058,-3.3867
3.53209,-0.0058,-3.3944
3.540097,-0.0058,-3.402
3.548104,-0.0059,-3.4097
3.556111,-0.0059,-3.4174
3.564118,-0.0059,-3.4251
3.572125,-0.006,-3.4328
3.580132,-0.006,-3.4405
3.588139,-0.006,-3.4482
3.596146,-0.006,-3.4559
3.604153,-0.0061,-3.4635
3.61216,-0.0061,-3.4712
3.620167,-0.0061,-3.4789
3.628174,-0.0061,-3.4866
3.636181,-0.0062,-3.4943
3.644188,-0.0062,-3.502
3.652195,-0.0062,-3.5097
3.660202,-0.0062,-3.5173
3.668209,-0.0063,-3.525
3.676216,-0.0063,-3.5327
3.684223,-0.0063,-3.5404
3.69223,-0.0064,-3.5481
3.700237,-0.0064,-3.5558
3.708244,-0.0064,-3.5635
3.716251,-0.0064,-3.5711
3.724258,-0.0065,-3.5788
3.732265,-0.0065,-3.5865
3.740272,-0.0065,-3.5942
3.748279,-0.0066,-3.6019
3.756286,-0.0066,-3.6096
3.764293,-0.0066,-3.6173
3.7723,-0.0066,-3.6249
3.780307,-0.0067,-3.6326
3.788314,-0.0067,-3.6403
3.796321,-0.0067,-3.648
3.804328,-0.0067,-3.6557
3.812335,-0.0068,-3.6634
3.820342,-0.0068,-3.671
3.828349,-0.0068,-3.6787
3.836356,-0.0069,-3.6864
3.844363,-0.0069,-3.6941
3.85237,-0.0069,-3.7018
3.860377,-0.0069,-3.7095
3.868384,-0.007,-3.7172
3.876391,-0.007,-3.7248
3.884398,-0.007,-3.7325
3.892405,-0.0071,-3.7402
3.900412,-0.0071,-3.7479
3.908419,-0.0071,-3.7556
3.916426,-0.0072,-3.7633
3.924433,-0.0072,-3.7709
3.93244,-0.0072,-3.7786
3.940447,-0.0072,-3.7863
3.948454,-0.0073,-3.794
3.956461,-0.0073,-3.8017
3.964468,-0.0073,-3.8094
3.972475,-0.0074,-3.817
3.980482,-0.0074,-3.8247
3.988489,-0.0074,-3.8324
3.996496,-0.0074,-3.8401
4.004504,-0.0075,-3.8478
4.012511,-0.0075,-3.8555
4.020518,-0.0075,-3.8631
4.028525,-0.0076,-3.8708
4.036532,-0.0076,-3.8785
4.044539,-0.0076,-3.8862
4.052546,-0.0077,-3.8939
4.060553,-0.0077,-3.9016
4.06856,-0.0077,-3.9092
4.076567,-0.0077,-3.9169
4.084574,-0.0078,-3.9246
4.092581,-0.0078,-3.9323
4.100588,-0.0078,-3.94
4.108595,-0.0079,-3.9477
4.116602,-0.0079,-3.9553
4.124609,-0.0079,-3.963
4.132616,-0.008,-3.9707
4.140623,-0.008,-3.9784
4.14863,-0.008,-3.9861
4.156637,-0.0081,-3.9937
4.164644,-0.0081,-4.0014
4.172651,-0.0081,-4.0091
4.180658,-0.0081,-4.0168
4.188665,-0.0082,-4.0245
4.196672,-0.0082,-4.0322
4.204679,-0.0082,-4.0398
4.212686,-0.0083,-4.0475
4.220693,-0.0083,-4.0552
4.2287,-0.0083,-4.0629
4.236707,-0.0084,-4.0706
4.244714,-0.0084,-4.0782
4.252721,-0.0084,-4.0859
4.260728,-0.0085,-4.0936
4.268735,-0.0085,-4.1013
4.276742,-0.0085,-4.109
4.284749,-0.0086,-4.1167
4.292756,-0.0086,-4.1243
4.300763,-0.0086,-4.132
4.30877,-0.0087,-4.1397
4.316777,-0.0087,-4.1474
4.324784,-0.0087,-4.1551
4.332791,-0.0087,-4.1627
4.340798,-0.0088,-4.1704
4.348805,-0.0088,-4.1781
4.356812,-0.0088,-4.1858
4.364819,-0.0089,-4.1935
4.372826,-0.0089,-4.2011
4.380833,-0.0089,-4.2088
4.38884,-0.009,-4.2165
4.396847,-0.009,-4.2242
4.404854,-0.009,-4.2319
4.412861,-0.0091,-4.2395
4.420868,-0.0091,-4.2472
4.428875,-0.0091,-4.2549
4.436882,-0.0092,-4.2626
4.444889,-0.0092,-4.2703
4.452896,-0.0092,-4.2779
4.460903,-0.0093,-4.2856
4.46891,-0.0093,-4.2933
4.476917,-0.0093,-4.301
4.484924,-0.0094,-4.3087
4.492931,-0.0094,-4.3163
4.500938,-0.0094,-4.324
4.508945,-0.0095,-4.3317
4.516952,-0.0095,-4.3394
4.524959,-0.0095,-4.3471
4.532966,-0.0096,-4.3547
4.540973,-0.0096,-4.3624
4.54898,-0.0096,-4.3701
4.556987,-0.0097,-4.3778
4.564994,-0.0097,-4.3854
4.573001,-0.0097,-4.3931
4.581008,-0.0098,-4.4008
4.589015,-0.0098,-4.4085
4.597022,-0.0098,-4.4162
4.605029,-0.0099,-4.4238
4.613036,-0.0099,-4.4315
4.621043,-0.0099,-4.4392
